Rank,Release,Opening_Rev,Total_Gross,Non_opening_rev,% of Total,Theaters,Average_Theatre_Rev,Date,Distributor
485,Birds of Prey: And the Fantabulous Emancipation of One Harley Quinn,33010017,82771910,49761893,39.90,"4,236",7792,"Feb 7, 2020",Warner Bros.
486,Rush Hour,33001803,141186864,108185061,23.40,"2,638",12510,"Sep 18, 1998",New Line Cinema
487,Scream 2,32926342,101363301,68436959,32.50,"2,663",12364,"Dec 12, 1997",Dimension Films
488,A Nightmare on Elm Street,32902299,63075011,30172712,52.20,"3,332",9874,"Apr 30, 2010",Warner Bros.
489,X-Men: Dark Phoenix,32828348,65845974,33017626,49.90,"3,721",8822,"Jun 7, 2019",Twentieth Century Fox
490,The Book of Eli,32789494,94835059,62045565,34.60,"3,111",10539,"Jan 15, 2010",Warner Bros.
491,Blade Runner 2049,32753122,92054159,59301037,35.60,"4,058",8071,"Oct 6, 2017",Warner Bros.
492,Where the Wild Things Are,32695407,77233467,44538060,42.30,"3,735",8753,"Oct 16, 2009",Warner Bros.
493,Due Date,32689406,100539043,67849637,32.50,"3,355",9743,"Nov 5, 2010",Warner Bros.
494,Blade II,32528016,82348319,49820303,39.50,"2,707",12016,"Mar 22, 2002",New Line Cinema
495,The Maze Runner,32512804,102427862,69915058,31.70,"3,604",9021,"Sep 19, 2014",Twentieth Century Fox
496,Spy Kids 3-D: Game Over,32500000,111761982,79261982,29.10,"3,344",9718,"Jul 25, 2003",Dimension Films
497,Hannah Montana: The Movie,32324487,79576189,47251702,40.60,"3,118",10367,"Apr 10, 2009",Walt Disney Studios Motion Pictures
498,Mr. Peabody & Sherman,32207057,111506430,79299373,28.90,"3,934",8186,"Mar 7, 2014",Twentieth Century Fox
499,Immortals,32206425,83504017,51297592,38.60,"3,112",10349,"Nov 11, 2011",Relativity Media
500,Wedding Crashers,32200000,209255921,177055921,15.40,"2,925",11008,"Jul 15, 2005",New Line Cinema
501,Elf,32100000,173398518,141298518,18.50,"3,337",9619,"Nov 7, 2003",New Line Cinema
502,Bad Grandpa,32055177,102003019,69947842,31.40,"3,336",9608,"Oct 25, 2013",Paramount Pictures
503,The SpongeBob SquarePants Movie,32018216,85417988,53399772,37.50,"3,212",9968,"Nov 19, 2004",Paramount Pictures
504,Paul Blart: Mall Cop,31832636,146336178,114503542,21.80,"3,144",10124,"Jan 16, 2009",Sony Pictures Releasing
505,Terminator 2: Judgment Day,31765506,204843345,173077839,15.50,"2,274",13969,"Jul 3, 1991",TriStar Pictures
506,Saw IV,31756764,63300095,31543331,50.20,"3,183",9976,"Oct 26, 2007",Lionsgate
507,Saw II,31725652,87039965,55314313,36.40,"2,949",10758,"Oct 28, 2005",Lionsgate
508,G-Force,31706934,119436770,87729836,26.60,"3,697",8576,"Jul 24, 2009",Walt Disney Studios Motion Pictures
509,The Mummy,31688375,80227895,48539520,39.50,"4,035",7853,"Jun 9, 2017",Universal Pictures
510,Bad Teacher,31603106,100292856,68689750,31.50,"3,049",10365,"Jun 24, 2011",Sony Pictures Releasing
511,The Truman Show,31542121,125618201,94076080,25.10,"2,315",13625,"Jun 5, 1998",Paramount Pictures
512,The Purge: Election Year,31515110,79213375,47698265,39.80,"2,796",11271,"Jul 1, 2016",Universal Pictures
513,The Wolfman,31479235,61979680,30500445,50.80,"3,222",9770,"Feb 12, 2010",Universal Pictures
514,Ford v Ferrari,31474958,117594481,86119523,26.80,"3,528",8921,"Nov 15, 2019",Twentieth Century Fox
515,Liar Liar,31423025,181410615,149987590,17.30,"2,845",11045,"Mar 21, 1997",Universal Pictures
516,Percy Jackson & the Olympians: The Lightning Thief,31236067,88768303,57532236,35.20,"3,356",9307,"Feb 12, 2010",Twentieth Century Fox
517,Girls Trip,31201920,115171585,83969665,27.10,"2,591",12042,"Jul 21, 2017",Universal Pictures
518,Evan Almighty,31192615,100462298,69269683,31,"3,604",8654,"Jun 22, 2007",Universal Pictures
519,The Sum of All Fears,31178526,118907036,87728510,26.20,"3,183",9795,"May 31, 2002",Paramount Pictures
520,Home Alone 2: Lost in New York,31126882,173585516,142458634,17.90,"2,222",14008,"Nov 20, 1992",Twentieth Century Fox
521,Hannah Montana and Miley Cyrus: Best of Both Worlds Concert,31117834,65281781,34163947,47.70,683,45560,"Feb 1, 2008",Walt Disney Studios Motion Pictures
522,Bringing Down the House,31101026,132716677,101615651,23.40,"2,801",11103,"Mar 7, 2003",Walt Disney Studios Motion Pictures
523,Four Christmases,31069826,120146040,89076214,25.90,"3,310",9386,"Nov 26, 2008",Warner Bros.
524,Into the Woods,31051923,128002372,96950449,24.30,"2,440",12726,"Dec 25, 2014",Walt Disney Studios Motion Pictures
525,Pokémon: The First Movie - Mewtwo Strikes Back,31036678,85744662,54707984,36.20,"3,043",10199,"Nov 10, 1999",Warner Bros.
526,Downton Abbey,31033665,96854135,65820470,32,"3,079",10079,"Sep 20, 2019",Focus Features
527,Sex and the City 2,31001870,95347692,64345822,32.50,"3,445",8999,"May 27, 2010",Warner Bros.
528,Step Brothers,30940732,100468793,69528061,30.80,"3,094",10000,"Jul 25, 2008",Sony Pictures Releasing
529,Little Fockers,30833665,148438600,117604935,20.80,"3,536",8719,"Dec 22, 2010",Universal Pictures
530,Star Trek: First Contact,30716131,92027888,61311757,33.40,"2,812",10923,"Nov 22, 1996",Paramount Pictures
531,Knocked Up,30690990,148768917,118077927,20.60,"2,871",10690,"Jun 1, 2007",Universal Pictures
532,The Dukes of Hazzard,30675314,80270227,49594913,38.20,"3,785",8104,"Aug 5, 2005",Warner Bros.
533,Unbroken,30621445,115637895,85016450,26.50,"3,131",9780,"Dec 25, 2014",Universal Pictures
534,Brüno,30619130,60054530,29435400,51,"2,756",11109,"Jul 10, 2009",Universal Pictures
535,Saving Private Ryan,30576104,216540909,185964805,14.10,"2,463",12414,"Jul 24, 1998",DreamWorks Distribution
536,The Pacifier,30552694,113086868,82534174,27,"3,131",9758,"Mar 4, 2005",Walt Disney Studios Motion Pictures
537,Bram Stoker's Dracula,30521679,82522790,52001111,37,"2,491",12252,"Nov 13, 1992",Columbia Pictures
538,The Happening,30517109,64506874,33989765,47.30,"2,986",10220,"Jun 13, 2008",Twentieth Century Fox
539,Just Go with It,30514732,103028109,72513377,29.60,"3,548",8600,"Feb 11, 2011",Sony Pictures Releasing
540,The Day the Earth Stood Still,30480153,79366978,48886825,38.40,"3,560",8561,"Dec 12, 2008",Twentieth Century Fox
541,Dear John,30468614,80014842,49546228,38.10,"2,969",10262,"Feb 5, 2010",Screen Gems
542,John Wick: Chapter 2,30436123,92029184,61593061,33.10,"3,113",9777,"Feb 10, 2017",Lionsgate
543,Night at the Museum,30433781,250863268,220429487,12.10,"3,685",8258,"Dec 22, 2006",Twentieth Century Fox
544,Olympus Has Fallen,30373794,98925640,68551846,30.70,"3,098",9804,"Mar 22, 2013",FilmDistrict
545,Unbreakable,30330771,95011339,64680568,31.90,"2,708",11200,"Nov 22, 2000",Walt Disney Studios Motion Pictures
546,Maze Runner: The Scorch Trials,30316510,81697192,51380682,37.10,"3,791",7996,"Sep 18, 2015",Twentieth Century Fox
547,Cloudy with a Chance of Meatballs,30304648,124870275,94565627,24.30,"3,119",9716,"Sep 18, 2009",Sony Pictures Releasing
548,The Addams Family,30300007,100044905,69744898,30.30,"4,007",7561,"Oct 11, 2019",United Artists Releasing
549,America's Sweethearts,30181877,93607673,63425796,32.20,"3,011",10023,"Jul 20, 2001",Revolution Studios
550,John Carter,30180188,73078100,42897912,41.30,"3,749",8050,"Mar 9, 2012",Walt Disney Studios Motion Pictures
551,The Lion King2011 3D Release,30151614,94242001,64090387,32,"2,330",12940,"Sep 16, 2011",Walt Disney Studios Motion Pictures
552,The X Files,30138758,83898313,53759555,35.90,"2,629",11463,"Jun 19, 1998",Twentieth Century Fox
553,Django Unchained,30122888,162805434,132682546,18.50,"3,010",10007,"Dec 25, 2012",The Weinstein Company
554,The Best Man Holiday,30107555,70525195,40417640,42.70,"2,024",14875,"Nov 15, 2013",Universal Pictures
555,Trainwreck,30097040,110212700,80115660,27.30,"3,158",9530,"Jul 17, 2015",Universal Pictures
556,Prince of Persia: The Sands of Time,30095259,90759676,60664417,33.20,"3,646",8254,"May 28, 2010",Walt Disney Studios Motion Pictures
557,Dodgeball: A True Underdog Story,30070196,114326736,84256540,26.30,"2,694",11161,"Jun 18, 2004",Twentieth Century Fox
558,Lemony Snicket's A Series of Unfortunate Events,30061756,118634549,88572793,25.30,"3,620",8304,"Dec 17, 2004",Paramount Pictures
559,Sleepy Hollow,30060467,101071502,71011035,29.70,"3,064",9810,"Nov 19, 1999",Paramount Pictures
560,Panic Room,30056751,96397334,66340583,31.20,"3,053",9844,"Mar 29, 2002",Sony Pictures Releasing
561,The Exorcism of Emily Rose,30054300,75072454,45018154,40,"2,981",10081,"Sep 9, 2005",Screen Gems
562,Saw V,30053954,56746769,26692815,53,"3,060",9821,"Oct 24, 2008",Lionsgate
563,Catch Me If You Can,30053627,164615351,134561724,18.30,"3,156",9522,"Dec 25, 2002",DreamWorks Distribution
564,A Christmas Carol,30051075,137855863,107804788,21.80,"3,683",8159,"Nov 6, 2009",Walt Disney Studios Motion Pictures
565,Men in Black: International,30035838,80001807,49965969,37.50,"4,224",7110,"Jun 14, 2019",Sony Pictures Releasing
566,Madea's Family Reunion,30030661,63257940,33227279,47.50,"2,194",13687,"Feb 24, 2006",Lionsgate
567,The Purge: Anarchy,29816675,71962800,42146125,41.40,"2,805",10629,"Jul 18, 2014",Universal Pictures
568,Elysium,29807393,93050117,63242724,32,"3,284",9076,"Aug 9, 2013",TriStar Pictures
569,Hercules,29800263,72688614,42888351,41,"3,595",8289,"Jul 25, 2014",Paramount Pictures
570,Constantine,29769098,75976178,46207080,39.20,"3,006",9903,"Feb 18, 2005",Warner Bros.
571,What Lies Beneath,29702959,155464351,125761392,19.10,"2,813",10559,"Jul 21, 2000",DreamWorks Distribution
572,The Flintstones,29688730,130531208,100842478,22.70,"2,498",11885,"May 27, 1994",Universal Pictures
573,Dark Shadows,29685274,79727149,50041875,37.20,"3,755",7905,"May 11, 2012",Warner Bros.
574,Daddy's Home 2,29651193,104029443,74378250,28.50,"3,575",8294,"Nov 10, 2017",Paramount Pictures
575,Creed,29632823,109767581,80134758,27,"3,404",8705,"Nov 25, 2015",Warner Bros.
576,Insidious: The Last Key,29581355,67745330,38163975,43.70,"3,116",9493,"Jan 5, 2018",Universal Pictures
577,Justin Bieber: Never Say Never,29514054,73013910,43499856,40.40,"3,105",9505,"Feb 11, 2011",Paramount Pictures
578,Ghostbusters II,29472894,112494738,83021844,26.20,"2,410",12229,"Jun 16, 1989",Columbia Pictures
579,Scooby-Doo 2: Monsters Unleashed,29438331,84216833,54778502,35,"3,312",8888,"Mar 26, 2004",Warner Bros.
580,Indiana Jones and the Last Crusade,29355021,197171806,167816785,14.90,"2,327",12614,"May 24, 1989",Paramount Pictures
581,A.I. Artificial Intelligence,29352630,78616689,49264059,37.30,"3,242",9053,"Jun 29, 2001",Warner Bros.
582,Now You See Me,29350389,117723989,88373600,24.90,"2,925",10034,"May 31, 2013",Lionsgate
583,Beverly Hills Chihuahua,29300465,94514402,65213937,31,"3,215",9113,"Oct 3, 2008",Walt Disney Studios Motion Pictures
584,Why Did I Get Married Too?,29289537,60095852,30806315,48.70,"2,155",13591,"Apr 2, 2010",Lionsgate
585,Think Like a Man Too,29241911,65182182,35940271,44.90,"2,225",13142,"Jun 20, 2014",Screen Gems
586,The Muppets,29239026,88631237,59392211,33,"3,440",8499,"Nov 23, 2011",Walt Disney Studios Motion Pictures
587,The Lone Ranger,29210849,89302115,60091266,32.70,"3,904",7482,"Jul 3, 2013",Walt Disney Studios Motion Pictures
588,Eagle Eye,29150721,101440743,72290022,28.70,"3,510",8305,"Sep 26, 2008",DreamWorks
589,Toy Story,29140617,191796233,162655616,15.20,"2,457",11860,"Nov 22, 1995",Walt Disney Studios Motion Pictures
590,The Texas Chainsaw Massacre,29100000,80571655,51471655,36.10,"3,016",9648,"Oct 17, 2003",New Line Cinema
591,Spy,29085719,110825712,81739993,26.20,"3,711",7837,"Jun 5, 2015",Twentieth Century Fox
592,Terminator: Dark Fate,29033832,62253077,33219245,46.60,"4,086",7105,"Nov 1, 2019",Paramount Pictures
593,Allegiant,29027348,66184051,37156703,43.90,"3,740",7761,"Mar 18, 2016",Lionsgate
594,Doctor Dolittle,29014324,144156605,115142281,20.10,"2,777",10448,"Jun 26, 1998",Twentieth Century Fox
595,The Santa Clause 2,29008696,139236327,110227631,20.80,"3,350",8659,"Nov 1, 2002",Walt Disney Studios Motion Pictures
596,Paranormal Activity 4,29003866,53885000,24881134,53.80,"3,412",8500,"Oct 19, 2012",Paramount Pictures
597,Jackass Number Two,29002002,72778712,43776710,39.80,"3,059",9480,"Sep 22, 2006",Paramount Pictures
598,Inside Man,28954945,88513495,59558550,32.70,"2,818",10274,"Mar 24, 2006",Universal Pictures
599,Cast Away,28883406,233632142,204748736,12.40,"2,774",10412,"Dec 22, 2000",Twentieth Century Fox
600,Non-Stop,28875635,92168600,63292965,31.30,"3,090",9344,"Feb 28, 2014",Universal Pictures
601,Miss Peregrine's Home for Peculiar Children,28871140,87242834,58371694,33.10,"3,522",8197,"Sep 30, 2016",Twentieth Century Fox
602,Edge of Tomorrow,28760246,100206256,71446010,28.70,"3,490",8240,"Jun 6, 2014",Warner Bros.
603,Murder on the Orient Express,28681472,102826543,74145071,27.90,"3,341",8584,"Nov 10, 2017",Twentieth Century Fox
604,Titanic,28638131,600788188,572150057,4.80,"2,674",10709,"Dec 19, 1997",Paramount Pictures
605,Meet the Parents,28623300,166244045,137620745,17.20,"2,614",10950,"Oct 6, 2000",Universal Pictures
606,Obsessed,28612730,68261644,39648914,41.90,"2,514",11381,"Apr 24, 2009",Screen Gems
607,The Expendables 2,28591370,85028192,56436822,33.60,"3,316",8622,"Aug 17, 2012",Lionsgate
608,Alita: Battle Angel,28525613,85710210,57184597,33.30,"3,790",7526,"Feb 14, 2019",Twentieth Century Fox
609,Tyler Perry's Boo! A Madea Halloween,28501448,73206343,44704895,38.90,"2,260",12611,"Oct 21, 2016",Lionsgate
610,Anchorman: The Legend of Ron Burgundy,28416365,85288303,56871938,33.30,"3,091",9193,"Jul 9, 2004",DreamWorks Distribution
611,Mama,28402310,71628180,43225870,39.60,"2,647",10730,"Jan 18, 2013",Universal Pictures
612,Nacho Libre,28309599,80197993,51888394,35.30,"3,070",9221,"Jun 16, 2006",Paramount Pictures
613,Horrible Bosses,28302165,117538559,89236394,24.10,"3,040",9309,"Jul 8, 2011",Warner Bros.
614,The Invisible Man,28205665,54026015,25820350,52.20,"3,610",7813,"Feb 28, 2020",Universal Pictures
615,Erin Brockovich,28138465,125595205,97456740,22.40,"2,848",9880,"Mar 17, 2000",Universal Pictures
616,Pacific Rim: Uprising,28116535,59874525,31757990,47,"3,708",7582,"Mar 23, 2018",Universal Pictures
617,Starsky & Hutch,28103367,88237754,60134387,31.80,"3,185",8823,"Mar 5, 2004",Warner Bros.
618,Sin City,28100000,74103820,46003820,37.90,"3,230",8699,"Apr 1, 2005",Dimension Films
619,Back to the Future Part II,27835125,118450002,90614877,23.50,"1,865",14925,"Nov 22, 1989",Universal Pictures
620,Hairspray,27800000,118871849,91071849,23.40,"3,121",8907,"Jul 20, 2007",New Line Cinema
621,The Matrix,27788331,171479930,143691599,16.20,"2,849",9753,"Mar 31, 1999",Warner Bros.
622,He's Just Not That Into You,27785487,93953653,66168166,29.60,"3,175",8751,"Feb 6, 2009",Warner Bros.
623,Mamma Mia!,27751240,144130063,116378823,19.20,"2,976",9325,"Jul 18, 2008",Universal Pictures
624,Big Momma's House 2,27736056,70165972,42429916,39.50,"3,261",8505,"Jan 27, 2006",Twentieth Century Fox
625,Jarhead,27726210,62658220,34932010,44.20,"2,411",11499,"Nov 4, 2005",Universal Pictures
626,Along Came Polly,27721185,88097164,60375979,31.50,"2,984",9289,"Jan 16, 2004",Universal Pictures
627,Wild Wild West,27687484,113804681,86117197,24.30,"3,342",8284,"Jun 30, 1999",Warner Bros.
628,Daddy Day Care,27623580,104297061,76673481,26.50,"3,370",8196,"May 9, 2003",Revolution Studios
629,The Ugly Truth,27605576,88915214,61309638,31,"2,882",9578,"Jul 24, 2009",Sony Pictures Releasing
630,Cheaper by the Dozen,27557647,138614544,111056897,19.90,"3,298",8355,"Dec 25, 2003",Twentieth Century Fox
631,Wonder,27547866,132422809,104874943,20.80,"3,096",8897,"Nov 17, 2017",Lionsgate
632,The Devil Wears Prada,27537244,124740460,97203216,22.10,"2,847",9672,"Jun 30, 2006",Twentieth Century Fox
633,Space Jam,27528529,90418342,62889813,30.40,"2,650",10388,"Nov 15, 1996",Warner Bros.
634,After Earth,27520040,60522097,33002057,45.50,"3,401",8091,"May 31, 2013",Sony Pictures Releasing
635,Beowulf,27515871,82280579,54764708,33.40,"3,153",8726,"Nov 16, 2007",Paramount Pictures
636,42,27487144,95020213,67533069,28.90,"3,003",9153,"Apr 12, 2013",Warner Bros.
637,Bedtime Stories,27450296,110101975,82651679,24.90,"3,681",7457,"Dec 25, 2008",Walt Disney Studios Motion Pictures
638,The Final Destination,27408309,66477700,39069391,41.20,"3,121",8781,"Aug 28, 2009",Warner Bros.
639,Jumper,27354808,80172128,52817320,34.10,"3,428",7979,"Feb 14, 2008",Twentieth Century Fox
640,Journey 2: The Mysterious Island,27335363,103860290,76524927,26.30,"3,470",7877,"Feb 10, 2012",Warner Bros.
641,The Rugrats Movie,27321470,100494675,73173205,27.20,"2,782",9820,"Nov 20, 1998",Paramount Pictures
642,Real Steel,27319677,85468508,58148831,32,"3,440",7941,"Oct 7, 2011",Walt Disney Studios Motion Pictures
643,Les Misérables,27281735,148809770,121528035,18.30,"2,814",9695,"Dec 25, 2012",Universal Pictures
644,Night School,27257615,77339130,50081515,35.20,"3,010",9055,"Sep 28, 2018",Universal Pictures
645,Jack the Giant Slayer,27202226,65187603,37985377,41.70,"3,525",7716,"Mar 1, 2013",Warner Bros.
646,The Bourne Identity,27118640,121661683,94543043,22.30,"2,638",10280,"Jun 14, 2002",Universal Pictures
647,A Madea Family Funeral,27062332,73257045,46194713,36.90,"2,442",11082,"Mar 1, 2019",Lionsgate
648,2 Guns,27059130,75612460,48553330,35.80,"3,025",8945,"Aug 2, 2013",Universal Pictures
649,Terminator Genisys,27018486,89760956,62742470,30.10,"3,758",7189,"Jul 1, 2015",Paramount Pictures
650,Ender's Game,27017351,61737191,34719840,43.80,"3,407",7929,"Nov 1, 2013",Lionsgate
651,The Departed,26887467,132384315,105496848,20.30,"3,017",8911,"Oct 6, 2006",Warner Bros.
652,Alice Through the Looking Glass,26858726,77041381,50182655,34.90,"3,763",7137,"May 27, 2016",Walt Disney Studios Motion Pictures
653,Underworld: Evolution,26857181,62318875,35461694,43.10,"3,207",8374,"Jan 20, 2006",Screen Gems
654,The Curious Case of Benjamin Button,26853816,127509326,100655510,21.10,"2,988",8987,"Dec 25, 2008",Paramount Pictures
655,Zombieland: Double Tap,26803104,73123082,46319978,36.60,"3,468",7728,"Oct 18, 2019",Sony Pictures Releasing
656,Knives Out,26769548,165179842,138410294,16.20,"3,461",7734,"Nov 27, 2019",Lionsgate
657,Flubber,26725207,92977226,66252019,28.70,"2,641",10119,"Nov 26, 1997",Walt Disney Studios Motion Pictures
658,Dawn of the Dead,26722575,59020957,32298382,45.30,"2,745",9735,"Mar 19, 2004",Universal Pictures
659,The Sixth Sense,26681262,293506292,266825030,9.10,"2,161",12346,"Aug 6, 1999",Walt Disney Studios Motion Pictures
660,Resident Evil: Afterlife,26650264,60128566,33478302,44.30,"3,203",8320,"Sep 10, 2010",Screen Gems
661,The House with a Clock in Its Walls,26608020,68549695,41941675,38.80,"3,592",7407,"Sep 21, 2018",Universal Pictures
662,The Campaign,26588460,86907746,60319286,30.60,"3,205",8295,"Aug 10, 2012",Warner Bros.
663,Spy Kids,26546881,112719001,86172120,23.60,"3,104",8552,"Mar 30, 2001",Miramax
664,The Pursuit of Happyness,26541709,163566459,137024750,16.20,"2,852",9306,"Dec 15, 2006",Sony Pictures Releasing
665,Crazy Rich Asians,26510140,174532921,148022781,15.20,"3,384",7833,"Aug 15, 2018",Warner Bros.
666,Borat: Cultural Learnings of America for Make Benefit Glorious Nation of Kazakhstan,26455463,128505958,102050495,20.60,837,31607,"Nov 3, 2006",Twentieth Century Fox
667,All Eyez on Me,26435354,44922302,18486948,58.80,"2,471",10698,"Jun 16, 2017",Lionsgate
668,We're the Millers,26419396,150394119,123974723,17.60,"3,260",8104,"Aug 7, 2013",Warner Bros.
669,Hollow Man,26414386,73209340,46794954,36.10,"2,956",8935,"Aug 4, 2000",Sony Pictures Releasing
670,Don't Breathe,26411706,89217875,62806169,29.60,"3,051",8656,"Aug 26, 2016",Screen Gems
671,Halloween,26362367,58272029,31909662,45.20,"3,472",7592,"Aug 31, 2007",-
672,Beverly Hills Cop II,26348555,153665036,127316481,17.20,"2,326",11327,"May 20, 1987",Paramount Pictures
673,The Curse of la Llorona,26347631,54733739,28386108,48.10,"3,372",7813,"Apr 19, 2019",Warner Bros.
674,Bridesmaids,26247410,169106725,142859315,15.50,"2,918",8995,"May 13, 2011",Universal Pictures
675,Anchorman 2: The Legend Continues,26232425,125168368,98935943,21,"3,507",7480,"Dec 18, 2013",Paramount Pictures
676,Bolt,26223128,114053579,87830451,23,"3,651",7182,"Nov 21, 2008",Walt Disney Studios Motion Pictures
677,GoldenEye,26205007,106429941,80224934,24.60,"2,667",9825,"Nov 17, 1995",Metro-Goldwyn-Mayer (MGM)
678,The Golden Compass,26125000,70107728,43982728,37.30,"3,528",7405,"Dec 7, 2007",New Line Cinema
679,The Help,26044590,169708112,143663522,15.40,"2,534",10278,"Aug 10, 2011",Walt Disney Studios Motion Pictures
680,Happy Death Day,26039025,55683845,29644820,46.80,"3,149",8268,"Oct 13, 2017",Universal Pictures
681,The Perfect Guy,25888154,57027435,31139281,45.40,"2,221",11656,"Sep 11, 2015",Screen Gems
682,True Lies,25869770,146282411,120412641,17.70,"2,368",10924,"Jul 15, 1994",Twentieth Century Fox
683,Tropic Thunder,25812796,110515313,84702517,23.40,"3,319",7777,"Aug 13, 2008",DreamWorks
684,Evil Dead,25775847,54239856,28464009,47.50,"3,025",8520,"Apr 5, 2013",TriStar Pictures
685,Rocketman,25725722,96368160,70642438,26.70,"3,610",7126,"May 31, 2019",Paramount Pictures
686,Miami Vice,25723815,63450470,37726655,40.50,"3,021",8515,"Jul 28, 2006",Universal Pictures
687,Captain Phillips,25718314,107100855,81382541,24,"3,020",8515,"Oct 11, 2013",Sony Pictures Releasing
688,Fantastic Four,25685737,56117548,30431811,45.80,"3,995",6429,"Aug 7, 2015",Twentieth Century Fox
689,The A-Team,25669455,77222099,51552644,33.20,"3,535",7261,"Jun 11, 2010",Twentieth Century Fox
690,Big Momma's House,25661041,117559438,91898397,21.80,"2,802",9158,"Jun 2, 2000",Twentieth Century Fox
691,About Last Night,25649011,48637684,22988673,52.70,"2,253",11384,"Feb 14, 2014",Screen Gems
692,V for Vendetta,25642340,70511035,44868695,36.40,"3,365",7620,"Mar 17, 2006",Warner Bros.
693,Robin Hood: Prince of Thieves,25625602,165493908,139868306,15.50,"2,369",10817,"Jun 14, 1991",Warner Bros.
694,Son of God,25601865,59700064,34098199,42.90,"3,260",7853,"Feb 28, 2014",Twentieth Century Fox
695,Kill Bill: Vol. 2,25600000,66208183,40608183,38.70,"2,971",8616,"Apr 16, 2004",Miramax
696,Total Recall,25577758,58877969,33300211,43.40,"3,601",7102,"Aug 3, 2012",Sony Pictures Releasing
697,Battleship,25534825,65422625,39887800,39,"3,690",6920,"May 18, 2012",Universal Pictures
698,Total Recall,25533700,119394840,93861140,21.40,"2,060",12395,"Jun 1, 1990",Sony Pictures Releasing
699,Penguins of Madagascar,25447444,83850911,58403467,30.40,"3,764",6760,"Nov 26, 2014",Twentieth Century Fox
700,The Visit,25427560,65206105,39778545,39,"3,069",8285,"Sep 11, 2015",Universal Pictures
701,The Nutty Professor,25411725,128814019,103402294,19.70,"2,115",12015,"Jun 28, 1996",Universal Pictures
702,The Firm,25400000,158348367,132948367,16,"2,393",10614,"Jul 2, 1993",Paramount Pictures
703,Teenage Mutant Ninja Turtles,25398367,135265915,109867548,18.80,"2,006",12661,"Mar 30, 1990",New Line Cinema
704,Madea's Witness Protection,25390575,65653242,40262667,38.70,"2,161",11749,"Jun 29, 2012",Lionsgate
705,Gnomeo & Juliet,25356909,99967670,74610761,25.40,"2,994",8469,"Feb 11, 2011",Walt Disney Studios Motion Pictures
706,Apollo 13,25353380,172071312,146717932,14.70,"2,197",11540,"Jun 30, 1995",Universal Pictures
707,Indiana Jones and the Temple of Doom,25337110,179870271,154533161,14.10,"1,687",15019,"May 23, 1984",Paramount Pictures
708,Gone in 60 Seconds,25336048,101648571,76312523,24.90,"3,006",8428,"Jun 9, 2000",Walt Disney Studios Motion Pictures
709,Underworld Awakening,25306725,62321039,37014314,40.60,"3,078",8221,"Jan 20, 2012",Screen Gems
710,Public Enemies,25271675,97104620,71832945,26,"3,334",7579,"Jul 1, 2009",Universal Pictures
711,Patch Adams,25262280,135026902,109764622,18.70,"2,712",9315,"Dec 25, 1998",Universal Pictures
712,Date Night,25207599,98711404,73503805,25.50,"3,374",7471,"Apr 9, 2010",Twentieth Century Fox
713,Tomorrow Never Dies,25143007,125304276,100161269,20.10,"2,807",8957,"Dec 19, 1997",Metro-Goldwyn-Mayer (MGM)
714,Meet the Robinsons,25123781,97822171,72698390,25.70,"3,413",7361,"Mar 30, 2007",Walt Disney Studios Motion Pictures
715,Master and Commander: The Far Side of the World,25105990,93927920,68821930,26.70,"3,101",8096,"Nov 14, 2003",Twentieth Century Fox
716,The Rock,25069525,134069511,108999986,18.70,"2,392",10480,"Jun 7, 1996",Walt Disney Studios Motion Pictures
717,Madea's Big Happy Family,25068677,53345287,28276610,47,"2,288",10956,"Apr 22, 2011",Lionsgate
718,Dr. Dolittle 2,25037039,112952899,87915860,22.20,"3,049",8211,"Jun 22, 2001",Twentieth Century Fox
719,Vanilla Sky,25015518,100618344,75602826,24.90,"2,742",9123,"Dec 14, 2001",Paramount Pictures
720,Peter Rabbit,25010928,115253424,90242496,21.70,"3,725",6714,"Feb 9, 2018",Sony Pictures Releasing
721,Jack and Jill,25003575,74158157,49154582,33.70,"3,438",7272,"Nov 11, 2011",Sony Pictures Releasing
722,Skyscraper,24905015,68420120,43515105,36.40,"3,782",6585,"Jul 13, 2018",Universal Pictures
723,Flight,24900566,93772375,68871809,26.60,"1,884",13216,"Nov 2, 2012",Paramount Pictures
724,White House Down,24852258,73103784,48251526,34,"3,222",7713,"Jun 28, 2013",Sony Pictures Releasing
725,A Good Day to Die Hard,24834845,67349198,42514353,36.90,"3,553",6989,"Feb 14, 2013",Twentieth Century Fox
726,True Grit,24830443,171243005,146412562,14.50,"3,047",8149,"Dec 22, 2010",Paramount Pictures
727,The Call of the Wild,24791624,57806808,33015184,42.90,"3,752",6607,"Feb 21, 2020",Twentieth Century Fox
728,The Other Woman,24763752,83911193,59147441,29.50,"3,205",7726,"Apr 25, 2014",Twentieth Century Fox
729,Predators,24760882,52000688,27239806,47.60,"2,669",9277,"Jul 9, 2010",Twentieth Century Fox
730,Zombieland,24733155,75590286,50857131,32.70,"3,036",8146,"Oct 2, 2009",Sony Pictures Releasing
731,10 Cloverfield Lane,24727437,72082998,47355561,34.30,"3,391",7292,"Mar 11, 2016",Paramount Pictures
732,Taken,24717037,145000989,120283952,17,"3,183",7765,"Jan 30, 2009",Twentieth Century Fox
733,The Accountant,24710273,86260045,61549772,28.60,"3,332",7416,"Oct 14, 2016",Warner Bros.
