Rank,Release,Opening_Rev,Total_Gross,Non_opening_rev,% of Total,Theaters,Average_Theatre_Rev,Date,Distributor
137,Cinderella,67877361,201151353,133273992,33.70,"3,845",17653,"Mar 13, 2015",Walt Disney Studios Motion Pictures
138,Aquaman,67873522,335061807,267188285,20.30,"4,125",16454,"Dec 21, 2018",Warner Bros.
139,Dr. Seuss' The Grinch,67572855,270620950,203048095,25,"4,141",16318,"Nov 9, 2018",Universal Pictures
140,Quantum of Solace,67528882,168368427,100839545,40.10,"3,451",19567,"Nov 14, 2008",Sony Pictures Releasing
141,Rush Hour 2,67408222,226164286,158756064,29.80,"3,118",21619,"Aug 3, 2001",New Line Cinema
142,World War Z,66411834,202359711,135947877,32.80,"3,607",18411,"Jun 21, 2013",Paramount Pictures
143,Brave,66323594,237283207,170959613,28,"4,164",15927,"Jun 22, 2012",Walt Disney Studios Motion Pictures
144,Cars 2,66135507,191452396,125316889,34.50,"4,115",16071,"Jun 24, 2011",Walt Disney Studios Motion Pictures
145,X-Men: Apocalypse,65769562,155442489,89672927,42.30,"4,150",15848,"May 27, 2016",Twentieth Century Fox
146,Thor,65723338,181030624,115307286,36.30,"3,955",16617,"May 6, 2011",Paramount Pictures
147,Teenage Mutant Ninja Turtles,65575105,191204754,125629649,34.30,"3,845",17054,"Aug 8, 2014",Paramount Pictures
148,"The Chronicles of Narnia: The Lion, the Witch and the Wardrobe",65556312,291710957,226154645,22.50,"3,616",18129,"Dec 9, 2005",Walt Disney Studios Motion Pictures
149,2012,65237614,166112167,100874553,39.30,"3,404",19164,"Nov 13, 2009",Sony Pictures Releasing
150,Captain America: The First Avenger,65058524,176654505,111595981,36.80,"3,715",17512,"Jul 22, 2011",Paramount Pictures
151,War of the Worlds,64878725,234280354,169401629,27.70,"3,908",16601,"Jun 29, 2005",Paramount Pictures
152,The Twilight Saga: Eclipse,64832191,300531751,235699560,21.60,"4,468",14510,"Jun 30, 2010",Summit Entertainment
153,Star Wars: Episode I - The Phantom Menace,64820970,431088295,366267325,15,"2,970",21825,"May 19, 1999",Twentieth Century Fox
154,Madagascar: Escape 2 Africa,63106589,180010950,116904361,35.10,"4,056",15558,"Nov 7, 2008",DreamWorks
155,WALL·E,63087526,223808164,160720638,28.20,"3,992",15803,"Jun 27, 2008",Walt Disney Studios Motion Pictures
156,Pirates of the Caribbean: Dead Men Tell No Tales,62983253,172558876,109575623,36.50,"4,276",14729,"May 26, 2017",Walt Disney Studios Motion Pictures
157,Inception,62785337,292576195,229790858,21.50,"3,792",16557,"Jul 16, 2010",Warner Bros.
158,Hancock,62603879,227946274,165342395,27.50,"3,965",15789,"Jul 2, 2008",Sony Pictures Releasing
159,"Monsters, Inc.",62577067,255873250,193296183,24.50,"3,237",19331,"Nov 2, 2001",Walt Disney Studios Motion Pictures
160,Bad Boys for Life,62504105,202287687,139783582,30.90,"3,775",16557,"Jan 17, 2020",Sony Pictures Releasing
161,Sherlock Holmes,62304277,209028679,146724402,29.80,"3,626",17182,"Dec 25, 2009",Warner Bros.
162,Fantastic Beasts: The Crimes of Grindelwald,62163104,159555901,97392797,39,"4,163",14932,"Nov 16, 2018",Warner Bros.
163,Hulk,62128420,132177234,70048814,47,"3,660",16974,"Jun 20, 2003",Universal Pictures
164,The Lord of the Rings: The Two Towers,62007528,339789881,277782353,18.20,"3,622",17119,"Dec 18, 2002",New Line Cinema
165,The Amazing Spider-Man,62004688,262030663,200025975,23.70,"4,318",14359,"Jul 3, 2012",Sony Pictures Releasing
166,Mission: Impossible - Fallout,61236534,220159104,158922570,27.80,"4,386",13961,"Jul 27, 2018",Paramount Pictures
167,Clash of the Titans,61235105,163214888,101979783,37.50,"3,777",16212,"Apr 2, 2010",Warner Bros.
168,Kong: Skull Island,61025472,168052812,107027340,36.30,"3,846",15867,"Mar 10, 2017",Warner Bros.
169,Madagascar 3: Europe's Most Wanted,60316738,216391482,156074744,27.90,"4,258",14165,"Jun 8, 2012",DreamWorks
170,Kung Fu Panda,60239130,215434591,155195461,28,"4,114",14642,"Jun 6, 2008",DreamWorks
