Rank,Release,Opening ($),Total Gross ($),Non-opening ($),% of Total,Theaters,Average ($),Date,Distributor,Average ($)
59,Indiana Jones and the Kingdom of the Crystal Skull,"100,137,835","317,101,119",216963284,31.60,"4,260","23,506","May 22, 2008",Paramount Pictures,"23,506"
60,Transformers: Age of Extinction,"100,038,390","245,439,076",145400686,40.80,"4,233","23,632","Jun 27, 2014",Paramount Pictures,"23,632"
61,The Fate of the Furious,"98,786,705","226,008,385",127221680,43.70,"4,310","22,920","Apr 14, 2017",Universal Pictures,"22,920"
62,Iron Man,"98,618,668","318,604,126",219985458,31,"4,105","24,024","May 2, 2008",Paramount Pictures,"24,024"
63,Transformers: Dark of the Moon,"97,852,865","352,390,543",254537678,27.80,"4,088","23,936","Jun 29, 2011",DreamWorks,"23,936"
64,Fast & Furious 6,"97,375,245","238,679,850",141304605,40.80,"3,658","26,619","May 24, 2013",Universal Pictures,"26,619"
65,Joker,"96,202,337","335,451,311",239248974,28.70,"4,374","21,994","Oct 4, 2019",Warner Bros.,"21,994"
66,Captain America: The Winter Soldier,"95,023,721","259,766,572",164742851,36.60,"3,938","24,129","Apr 4, 2014",Walt Disney Studios Motion Pictures,"24,129"
67,Guardians of the Galaxy,"94,320,883","333,176,600",238855717,28.30,"4,080","23,117","Aug 1, 2014",Walt Disney Studios Motion Pictures,"23,117"
68,Justice League,"93,842,239","229,024,295",135182056,41,"4,051","23,165","Nov 17, 2017",Warner Bros.,"23,165"
69,Harry Potter and the Prisoner of Azkaban,"93,687,367","249,541,069",155853702,37.50,"3,855","24,302","Jun 4, 2004",Warner Bros.,"24,302"
70,Godzilla,"93,188,384","200,676,069",107487685,46.40,"3,952","23,580","May 16, 2014",Warner Bros.,"23,580"
71,Spider-Man: Far from Home,"92,579,212","390,532,085",297952873,23.70,"4,634","19,978","Jul 2, 2019",Sony Pictures Releasing,"19,978"
72,The Matrix Reloaded,"91,774,413","281,576,461",189802048,32.60,"3,603","25,471","May 15, 2003",Warner Bros.,"25,471"
73,The Amazing Spider-Man 2,"91,608,337","202,853,933",111245596,45.20,"4,324","21,186","May 2, 2014",Sony Pictures Releasing,"21,186"
74,Aladdin,"91,500,929","355,559,216",264058287,25.70,"4,476","20,442","May 24, 2019",Walt Disney Studios Motion Pictures,"20,442"
75,It Chapter Two,"91,062,152","211,593,228",120531076,43,"4,570","19,926","Sep 6, 2019",Warner Bros.,"19,926"
76,X-Men: Days of Future Past,"90,823,660","233,921,534",143097874,38.80,"3,996","22,728","May 23, 2014",Twentieth Century Fox,"22,728"
77,Inside Out,"90,440,272","356,461,711",266021439,25.40,"3,946","22,919","Jun 19, 2015",Walt Disney Studios Motion Pictures,"22,919"
78,Harry Potter and the Sorcerer's Stone,"90,294,621","317,575,550",227280929,28.40,"3,672","24,590","Nov 16, 2001",Warner Bros.,"24,590"
79,Pirates of the Caribbean: On Stranger Tides,"90,151,958","241,071,802",150919844,37.40,"4,155","21,697","May 20, 2011",Walt Disney Studios Motion Pictures,"21,697"
80,Logan,"88,411,916","226,277,068",137865152,39.10,"4,071","21,717","Mar 3, 2017",Twentieth Century Fox,"21,717"
81,Skyfall,"88,364,714","304,360,277",215995563,29,"3,505","25,211","Nov 9, 2012",Sony Pictures Releasing,"25,211"
82,Harry Potter and the Chamber of Secrets,"88,357,488","261,988,482",173630994,33.70,"3,682","23,997","Nov 15, 2002",Warner Bros.,"23,997"
83,Spider-Man 2,"88,156,227","373,585,825",285429598,23.60,"4,152","21,232","Jun 30, 2004",Sony Pictures Releasing,"21,232"
84,Fast Five,"86,198,765","209,837,675",123638910,41.10,"3,644","23,654","Apr 29, 2011",Universal Pictures,"23,654"
85,The Hangover Part II,"85,946,294","254,464,305",168518011,33.80,"3,615","23,774","May 26, 2011",Warner Bros.,"23,774"
86,Thor: The Dark World,"85,737,841","206,362,140",120624299,41.60,"3,841","22,321","Nov 8, 2013",Walt Disney Studios Motion Pictures,"22,321"
87,X2: X-Men United,"85,558,731","214,949,694",129390963,39.80,"3,741","22,870","May 2, 2003",Twentieth Century Fox,"22,870"
88,Fifty Shades of Grey,"85,171,450","166,167,230",80995780,51.30,"3,646","23,360","Feb 13, 2015",Universal Pictures,"23,360"
89,Doctor Strange,"85,058,311","232,641,920",147583609,36.60,"3,882","21,910","Nov 4, 2016",Walt Disney Studios Motion Pictures,"21,910"
90,X-Men Origins: Wolverine,"85,058,003","179,883,157",94825154,47.30,"4,099","20,750","May 1, 2009",Twentieth Century Fox,"20,750"
91,The Hobbit: An Unexpected Journey,"84,617,303","303,003,568",218386265,27.90,"4,045","20,918","Dec 14, 2012",Warner Bros.,"20,918"
92,Solo: A Star Wars Story,"84,420,489","213,767,512",129347023,39.50,"4,381","19,269","May 25, 2018",Walt Disney Studios Motion Pictures,"19,269"
93,The Passion of the Christ,"83,848,082","370,274,604",286426522,22.60,"3,043","27,554","Feb 25, 2004",Newmarket Films,"27,554"
94,Despicable Me 2,"83,517,315","368,065,385",284548070,22.70,"3,997","20,895","Jul 3, 2013",Universal Pictures,"20,895"
95,Monsters University,"82,429,469","268,492,764",186063295,30.70,"4,004","20,586","Jun 21, 2013",Walt Disney Studios Motion Pictures,"20,586"
96,Venom,"80,255,756","213,515,506",133259750,37.60,"4,250","18,883","Oct 5, 2018",Sony Pictures Releasing,"18,883"
97,Star Wars: Episode II - Attack of the Clones,"80,027,814","302,191,252",222163438,26.50,"3,161","25,317","May 16, 2002",Twentieth Century Fox,"25,317"
98,Oz the Great and Powerful,"79,110,453","234,911,825",155801372,33.70,"3,912","20,222","Mar 8, 2013",Walt Disney Studios Motion Pictures,"20,222"
99,Harry Potter and the Half-Blood Prince,"77,835,727","301,959,197",224123470,25.80,"4,325","17,996","Jul 15, 2009",Warner Bros.,"17,996"
100,I Am Legend,"77,211,321","256,393,010",179181689,30.10,"3,606","21,411","Dec 14, 2007",Warner Bros.,"21,411"
101,Harry Potter and the Order of the Phoenix,"77,108,414","292,004,738",214896324,26.40,"4,285","17,994","Jul 11, 2007",Warner Bros.,"17,994"
102,The Da Vinci Code,"77,073,388","217,536,138",140462750,35.40,"3,735","20,635","May 19, 2006",Sony Pictures Releasing,"20,635"
103,Avatar,"77,025,481","749,766,139",672740658,10.30,"3,452","22,313","Dec 18, 2009",Twentieth Century Fox,"22,313"
104,Halloween,"76,221,545","159,342,015",83120470,47.80,"3,928","19,404","Oct 19, 2018",Universal Pictures,"19,404"
105,Ant-Man and the Wasp,"75,812,205","216,648,740",140836535,35,"4,206","18,024","Jul 6, 2018",Walt Disney Studios Motion Pictures,"18,024"
106,Star Trek,"75,204,289","257,730,019",182525730,29.20,"3,849","19,538","May 8, 2009",Paramount Pictures,"19,538"
107,Zootopia,"75,063,401","341,268,248",266204847,22,"3,827","19,614","Mar 4, 2016",Walt Disney Studios Motion Pictures,"19,614"
108,Fantastic Beasts and Where to Find Them,"74,403,387","234,037,575",159634188,31.80,"4,144","17,954","Nov 18, 2016",Warner Bros.,"17,954"
109,The Simpsons Movie,"74,036,787","183,135,014",109098227,40.40,"3,922","18,877","Jul 27, 2007",Twentieth Century Fox,"18,877"
110,The Hobbit: The Desolation of Smaug,"73,645,197","258,366,855",184721658,28.50,"3,903","18,868","Dec 13, 2013",Warner Bros.,"18,868"
111,Austin Powers in Goldmember,"73,071,188","213,307,889",140236701,34.30,"3,613","20,224","Jul 26, 2002",New Line Cinema,"20,224"
112,The Lord of the Rings: The Return of the King,"72,629,713","377,027,325",304397612,19.30,"3,703","19,613","Dec 17, 2003",New Line Cinema,"19,613"
113,Dawn of the Planet of the Apes,"72,611,427","208,545,589",135934162,34.80,"3,967","18,303","Jul 11, 2014",Twentieth Century Fox,"18,303"
114,Despicable Me 3,"72,434,025","264,624,300",192190275,27.40,"4,529","15,993","Jun 30, 2017",Universal Pictures,"15,993"
115,The Lost World: Jurassic Park,"72,132,785","229,086,679",156953894,31.50,"3,281","21,985","May 23, 1997",Universal Pictures,"21,985"
116,Us,"71,117,625","175,084,580",103966955,40.60,"3,741","19,010","Mar 22, 2019",Universal Pictures,"19,010"
117,Fast & Furious,"70,950,500","155,064,265",84113765,45.80,"3,461","20,500","Apr 3, 2009",Universal Pictures,"20,500"
118,300,"70,885,301","210,614,939",139729638,33.70,"3,103","22,844","Mar 9, 2007",Warner Bros.,"22,844"
119,Shrek Forever After,"70,838,207","238,736,787",167898580,29.70,"4,359","16,251","May 21, 2010",DreamWorks,"16,251"
120,Transformers,"70,502,384","319,246,193",248743809,22.10,"4,011","17,577","Jul 3, 2007",DreamWorks,"17,577"
121,The Incredibles,"70,467,623","261,441,092",190973469,27,"3,933","17,917","Nov 5, 2004",Walt Disney Studios Motion Pictures,"17,917"
122,Spectre,"70,403,148","200,074,609",129671461,35.20,"3,929","17,918","Nov 6, 2015",Sony Pictures Releasing,"17,918"
123,Finding Nemo,"70,251,710","339,714,978",269463268,20.70,"3,374","20,821","May 30, 2003",Walt Disney Studios Motion Pictures,"20,821"
124,The Lorax,"70,217,070","214,030,500",143813430,32.80,"3,729","18,830","Mar 2, 2012",Universal Pictures,"18,830"
125,Star Trek Into Darkness,"70,165,559","228,778,661",158613102,30.70,"3,868","18,140","May 16, 2013",Paramount Pictures,"18,140"
126,Twilight,"69,637,740","192,769,854",123132114,36.10,"3,419","20,367","Nov 21, 2008",Summit Entertainment,"20,367"
127,Maleficent,"69,431,298","241,410,378",171979080,28.80,"3,948","17,586","May 30, 2014",Walt Disney Studios Motion Pictures,"17,586"
128,The Bourne Ultimatum,"69,283,690","227,471,070",158187380,30.50,"3,660","18,929","Aug 3, 2007",Universal Pictures,"18,929"
129,Pitch Perfect 2,"69,216,890","184,296,230",115079340,37.60,"3,473","19,930","May 15, 2015",Universal Pictures,"19,930"
130,The Lego Movie,"69,050,279","257,760,692",188710413,26.80,"3,775","18,291","Feb 7, 2014",Warner Bros.,"18,291"
131,The Day After Tomorrow,"68,743,584","186,740,799",117997215,36.80,"3,425","20,071","May 28, 2004",Twentieth Century Fox,"20,071"
132,Planet of the Apes,"68,532,960","180,011,740",111478780,38.10,"3,500","19,580","Jul 27, 2001",Twentieth Century Fox,"19,580"
133,The Mummy Returns,"68,139,035","202,019,785",133880750,33.70,"3,401","20,035","May 4, 2001",Universal Pictures,"20,035"
134,Up,"68,108,790","293,004,164",224895374,23.20,"3,766","18,085","May 29, 2009",Walt Disney Studios Motion Pictures,"18,085"
135,Ice Age: The Meltdown,"68,033,544","195,330,621",127297077,34.80,"3,964","17,162","Mar 31, 2006",Twentieth Century Fox,"17,162"
136,Bruce Almighty,"67,953,330","242,829,261",174875931,28,"3,483","19,510","May 23, 2003",Universal Pictures,"19,510"
137,Cinderella,"67,877,361","201,151,353",133273992,33.70,"3,845","17,653","Mar 13, 2015",Walt Disney Studios Motion Pictures,"17,653"
138,Aquaman,"67,873,522","335,061,807",267188285,20.30,"4,125","16,454","Dec 21, 2018",Warner Bros.,"16,454"
139,Dr. Seuss' The Grinch,"67,572,855","270,620,950",203048095,25,"4,141","16,318","Nov 9, 2018",Universal Pictures,"16,318"
140,Quantum of Solace,"67,528,882","168,368,427",100839545,40.10,"3,451","19,567","Nov 14, 2008",Sony Pictures Releasing,"19,567"
141,Rush Hour 2,"67,408,222","226,164,286",158756064,29.80,"3,118","21,619","Aug 3, 2001",New Line Cinema,"21,619"
142,World War Z,"66,411,834","202,359,711",135947877,32.80,"3,607","18,411","Jun 21, 2013",Paramount Pictures,"18,411"
143,Brave,"66,323,594","237,283,207",170959613,28,"4,164","15,927","Jun 22, 2012",Walt Disney Studios Motion Pictures,"15,927"
144,Cars 2,"66,135,507","191,452,396",125316889,34.50,"4,115","16,071","Jun 24, 2011",Walt Disney Studios Motion Pictures,"16,071"
145,X-Men: Apocalypse,"65,769,562","155,442,489",89672927,42.30,"4,150","15,848","May 27, 2016",Twentieth Century Fox,"15,848"
146,Thor,"65,723,338","181,030,624",115307286,36.30,"3,955","16,617","May 6, 2011",Paramount Pictures,"16,617"
147,Teenage Mutant Ninja Turtles,"65,575,105","191,204,754",125629649,34.30,"3,845","17,054","Aug 8, 2014",Paramount Pictures,"17,054"
148,"The Chronicles of Narnia: The Lion, the Witch and the Wardrobe","65,556,312","291,710,957",226154645,22.50,"3,616","18,129","Dec 9, 2005",Walt Disney Studios Motion Pictures,"18,129"
149,2012,"65,237,614","166,112,167",100874553,39.30,"3,404","19,164","Nov 13, 2009",Sony Pictures Releasing,"19,164"
150,Captain America: The First Avenger,"65,058,524","176,654,505",111595981,36.80,"3,715","17,512","Jul 22, 2011",Paramount Pictures,"17,512"
151,War of the Worlds,"64,878,725","234,280,354",169401629,27.70,"3,908","16,601","Jun 29, 2005",Paramount Pictures,"16,601"
152,The Twilight Saga: Eclipse,"64,832,191","300,531,751",235699560,21.60,"4,468","14,510","Jun 30, 2010",Summit Entertainment,"14,510"
153,Star Wars: Episode I - The Phantom Menace,"64,820,970","431,088,295",366267325,15,"2,970","21,825","May 19, 1999",Twentieth Century Fox,"21,825"
154,Madagascar: Escape 2 Africa,"63,106,589","180,010,950",116904361,35.10,"4,056","15,558","Nov 7, 2008",DreamWorks,"15,558"
155,WALL·E,"63,087,526","223,808,164",160720638,28.20,"3,992","15,803","Jun 27, 2008",Walt Disney Studios Motion Pictures,"15,803"
156,Pirates of the Caribbean: Dead Men Tell No Tales,"62,983,253","172,558,876",109575623,36.50,"4,276","14,729","May 26, 2017",Walt Disney Studios Motion Pictures,"14,729"
157,Inception,"62,785,337","292,576,195",229790858,21.50,"3,792","16,557","Jul 16, 2010",Warner Bros.,"16,557"
158,Hancock,"62,603,879","227,946,274",165342395,27.50,"3,965","15,789","Jul 2, 2008",Sony Pictures Releasing,"15,789"
159,"Monsters, Inc.","62,577,067","255,873,250",193296183,24.50,"3,237","19,331","Nov 2, 2001",Walt Disney Studios Motion Pictures,"19,331"
160,Bad Boys for Life,"62,504,105","202,287,687",139783582,30.90,"3,775","16,557","Jan 17, 2020",Sony Pictures Releasing,"16,557"
161,Sherlock Holmes,"62,304,277","209,028,679",146724402,29.80,"3,626","17,182","Dec 25, 2009",Warner Bros.,"17,182"
162,Fantastic Beasts: The Crimes of Grindelwald,"62,163,104","159,555,901",97392797,39,"4,163","14,932","Nov 16, 2018",Warner Bros.,"14,932"
163,Hulk,"62,128,420","132,177,234",70048814,47,"3,660","16,974","Jun 20, 2003",Universal Pictures,"16,974"
164,The Lord of the Rings: The Two Towers,"62,007,528","339,789,881",277782353,18.20,"3,622","17,119","Dec 18, 2002",New Line Cinema,"17,119"
165,The Amazing Spider-Man,"62,004,688","262,030,663",200025975,23.70,"4,318","14,359","Jul 3, 2012",Sony Pictures Releasing,"14,359"
166,Mission: Impossible - Fallout,"61,236,534","220,159,104",158922570,27.80,"4,386","13,961","Jul 27, 2018",Paramount Pictures,"13,961"
167,Clash of the Titans,"61,235,105","163,214,888",101979783,37.50,"3,777","16,212","Apr 2, 2010",Warner Bros.,"16,212"
168,Kong: Skull Island,"61,025,472","168,052,812",107027340,36.30,"3,846","15,867","Mar 10, 2017",Warner Bros.,"15,867"
169,Madagascar 3: Europe's Most Wanted,"60,316,738","216,391,482",156074744,27.90,"4,258","14,165","Jun 8, 2012",DreamWorks,"14,165"
170,Kung Fu Panda,"60,239,130","215,434,591",155195461,28,"4,114","14,642","Jun 6, 2008",DreamWorks,"14,642"
171,Straight Outta Compton,"60,200,180","161,197,785",100997605,37.40,"2,757","21,835","Aug 14, 2015",Universal Pictures,"21,835"
172,Cars,"60,119,509","244,082,982",183963473,24.60,"3,985","15,086","Jun 9, 2006",Walt Disney Studios Motion Pictures,"15,086"
173,Signs,"60,117,080","227,966,634",167849554,26.40,"3,264","18,418","Aug 2, 2002",Walt Disney Studios Motion Pictures,"18,418"
174,Fast & Furious Presents: Hobbs & Shaw,"60,038,950","173,956,935",113917985,34.50,"4,253","14,116","Aug 2, 2019",Universal Pictures,"14,116"
175,Monsters vs. Aliens,"59,321,095","198,351,526",139030431,29.90,"4,104","14,454","Mar 27, 2009",DreamWorks,"14,454"
176,Star Trek Beyond,"59,253,211","158,848,340",99595129,37.30,"3,928","15,084","Jul 22, 2016",Paramount Pictures,"15,084"
177,Jumanji: The Next Level,"59,251,543","315,971,726",256720183,18.80,"4,227","14,017","Dec 13, 2019",Sony Pictures Releasing,"14,017"
178,Jason Bourne,"59,215,365","162,434,410",103219045,36.40,"4,026","14,708","Jul 29, 2016",Universal Pictures,"14,708"
179,Pearl Harbor,"59,078,912","198,542,554",139463642,29.80,"3,214","18,381","May 25, 2001",Walt Disney Studios Motion Pictures,"18,381"
180,Fantastic 4: Rise of the Silver Surfer,"58,051,684","131,921,738",73870054,44,"3,959","14,663","Jun 15, 2007",Twentieth Century Fox,"14,663"
181,Sonic the Hedgehog,"58,018,348","141,140,061",83121713,41.10,"4,167","13,923","Feb 14, 2020",Paramount Pictures,"13,923"
182,Hannibal,"58,003,121","165,092,268",107089147,35.10,"3,230","17,957","Feb 9, 2001",Metro-Goldwyn-Mayer (MGM),"17,957"
183,Mission: Impossible II,"57,845,297","215,409,889",157564592,26.80,"3,653","15,835","May 24, 2000",Paramount Pictures,"15,835"
184,Ant-Man,"57,225,526","180,202,163",122976637,31.80,"3,856","14,840","Jul 17, 2015",Walt Disney Studios Motion Pictures,"14,840"
185,22 Jump Street,"57,071,445","191,719,337",134647892,29.80,"3,306","17,262","Jun 13, 2014",Sony Pictures Releasing,"17,262"
186,Sex and the City,"57,038,404","152,647,258",95608854,37.40,"3,285","17,363","May 30, 2008",Warner Bros.,"17,363"
187,John Wick: Chapter 3 - Parabellum,"56,818,067","171,015,687",114197620,33.20,"3,850","14,757","May 17, 2019",Lionsgate,"14,757"
