Rank,Release,Opening ($),Total Gross ($),Non-opening ($),% of Total,Theaters,Average ($),Date,Distributor,Average ($)
408,Marley & Me,"36,357,586","143,153,751",106796165,25.40,"3,480","10,447","Dec 25, 2008",Twentieth Century Fox,"10,447"
409,21 Jump Street,"36,302,612","138,447,667",102145055,26.20,"3,121","11,631","Mar 16, 2012",Sony Pictures Releasing,"11,631"
410,Kingsman: The Secret Service,"36,206,331","128,261,724",92055393,28.20,"3,204","11,300","Feb 13, 2015",Twentieth Century Fox,"11,300"
411,Jumanji: Welcome to the Jungle,"36,169,328","404,515,480",368346152,8.90,"3,765","9,606","Dec 20, 2017",Sony Pictures Releasing,"9,606"
412,Alien: Covenant,"36,160,621","74,262,031",38101410,48.70,"3,761","9,614","May 19, 2017",Twentieth Century Fox,"9,614"
413,Ocean's Thirteen,"36,133,403","117,154,724",81021321,30.80,"3,565","10,135","Jun 8, 2007",Warner Bros.,"10,135"
414,Dumb and Dumber To,"36,111,775","86,208,010",50096235,41.90,"3,154","11,449","Nov 14, 2014",Universal Pictures,"11,449"
415,Armageddon,"36,089,972","201,578,182",165488210,17.90,"3,127","11,541","Jul 1, 1998",Walt Disney Studios Motion Pictures,"11,541"
416,The Scorpion King,"36,075,875","91,047,077",54971202,39.60,"3,444","10,474","Apr 19, 2002",Universal Pictures,"10,474"
417,Robin Hood,"36,063,385","105,269,730",69206345,34.30,"3,503","10,295","May 14, 2010",Universal Pictures,"10,295"
418,Robots,"36,045,301","128,200,012",92154711,28.10,"3,776","9,545","Mar 11, 2005",Twentieth Century Fox,"9,545"
419,The Equalizer 2,"36,011,640","102,084,362",66072722,35.30,"3,388","10,629","Jul 20, 2018",Sony Pictures Releasing,"10,629"
420,Salt,"36,011,243","118,311,368",82300125,30.40,"3,612","9,969","Jul 23, 2010",Sony Pictures Releasing,"9,969"
421,Star Wars: Episode IV - A New Hope1997 Special Edition,"35,906,661","138,257,865",102351204,26,"2,104","17,065","Jan 31, 1997",Twentieth Century Fox,"17,065"
422,"10,000 BC","35,867,488","94,784,201",58916713,37.80,"3,410","10,518","Mar 7, 2008",Warner Bros.,"10,518"
423,Rampage,"35,753,093","101,028,233",65275140,35.40,"4,101","8,718","Apr 13, 2018",Warner Bros.,"8,718"
424,Minority Report,"35,677,125","132,072,926",96395801,27,"3,001","11,888","Jun 21, 2002",Twentieth Century Fox,"11,888"
425,Sweet Home Alabama,"35,648,740","127,223,418",91574678,28,"3,293","10,825","Sep 27, 2002",Walt Disney Studios Motion Pictures,"10,825"
426,The Smurfs,"35,611,637","142,614,158",107002521,25,"3,395","10,489","Jul 29, 2011",Sony Pictures Releasing,"10,489"
427,Creed II,"35,574,710","115,715,889",80141179,30.70,"3,441","10,338","Nov 21, 2018",Metro-Goldwyn-Mayer (MGM),"10,338"
428,Battle Los Angeles,"35,573,187","83,552,429",47979242,42.60,"3,417","10,410","Mar 11, 2011",Sony Pictures Releasing,"10,410"
429,The Other Guys,"35,543,162","119,219,978",83676816,29.80,"3,651","9,735","Aug 6, 2010",Sony Pictures Releasing,"9,735"
430,Central Intelligence,"35,535,250","127,440,871",91905621,27.90,"3,508","10,129","Jun 17, 2016",Warner Bros.,"10,129"
431,The World Is Not Enough,"35,519,007","126,943,684",91424677,28,"3,163","11,229","Nov 19, 1999",Metro-Goldwyn-Mayer (MGM),"11,229"
432,Super 8,"35,451,168","127,004,179",91553011,27.90,"3,379","10,491","Jun 10, 2011",Paramount Pictures,"10,491"
433,Spider-Man: Into the Spider-Verse,"35,363,376","190,241,310",154877934,18.60,"3,813","9,274","Dec 14, 2018",Sony Pictures Releasing,"9,274"
434,Teenage Mutant Ninja Turtles: Out of the Shadows,"35,316,382","82,051,601",46735219,43,"4,071","8,675","Jun 3, 2016",Paramount Pictures,"8,675"
435,Lilo & Stitch,"35,260,212","145,794,338",110534126,24.20,"3,191","11,049","Jun 21, 2002",Walt Disney Studios Motion Pictures,"11,049"
436,Sing,"35,258,145","270,395,425",235137280,13,"4,022","8,766","Dec 21, 2016",Universal Pictures,"8,766"
437,Ride Along 2,"35,243,095","91,221,830",55978735,38.60,"3,175","11,100","Jan 15, 2016",Universal Pictures,"11,100"
438,National Treasure,"35,142,554","173,008,894",137866340,20.30,"3,017","11,648","Nov 19, 2004",Walt Disney Studios Motion Pictures,"11,648"
439,The Ring Two,"35,065,237","76,231,249",41166012,46,"3,332","10,523","Mar 18, 2005",DreamWorks Distribution,"10,523"
440,Runaway Bride,"35,055,556","152,257,509",117201953,23,"3,158","11,100","Jul 30, 1999",Paramount Pictures,"11,100"
441,Sully,"35,028,301","125,070,033",90041732,28,"3,525","9,937","Sep 9, 2016",Warner Bros.,"9,937"
442,Annabelle: Creation,"35,006,404","102,092,201",67085797,34.30,"3,502","9,996","Aug 11, 2017",Warner Bros.,"9,996"
443,Mamma Mia! Here We Go Again,"34,952,180","120,634,935",85682755,29,"3,317","10,537","Jul 20, 2018",Universal Pictures,"10,537"
444,The Expendables,"34,825,135","103,068,524",68243389,33.80,"3,270","10,649","Aug 13, 2010",Lionsgate,"10,649"
445,Gladiator,"34,819,017","187,705,427",152886410,18.60,"2,938","11,851","May 5, 2000",DreamWorks Distribution,"11,851"
446,Scream 3,"34,713,342","89,143,175",54429833,38.90,"3,467","10,012","Feb 4, 2000",Dimension Films,"10,012"
447,The Magnificent Seven,"34,703,397","93,432,655",58729258,37.10,"3,674","9,445","Sep 23, 2016",Sony Pictures Releasing,"9,445"
448,Identity Thief,"34,551,025","134,506,920",99955895,25.70,"3,141","11,000","Feb 8, 2013",Universal Pictures,"11,000"
449,Hellboy II: The Golden Army,"34,539,115","75,986,503",41447388,45.40,"3,204","10,779","Jul 11, 2008",Universal Pictures,"10,779"
450,Enchanted,"34,440,317","127,807,262",93366945,27,"3,730","9,233","Nov 21, 2007",Walt Disney Studios Motion Pictures,"9,233"
451,Couples Retreat,"34,286,740","109,204,945",74918205,31.40,"3,000","11,428","Oct 9, 2009",Universal Pictures,"11,428"
452,Sausage Party,"34,263,534","97,685,686",63422152,35.10,"3,103","11,042","Aug 12, 2016",Sony Pictures Releasing,"11,042"
453,I Now Pronounce You Chuck & Larry,"34,233,750","120,059,556",85825806,28.50,"3,495","9,795","Jul 20, 2007",Universal Pictures,"9,795"
454,Tarzan,"34,221,968","171,091,819",136869851,20,"3,005","11,388","Jun 16, 1999",Walt Disney Studios Motion Pictures,"11,388"
455,Ransom,"34,216,088","136,492,681",102276593,25.10,"2,676","12,786","Nov 8, 1996",Walt Disney Studios Motion Pictures,"12,786"
456,Norbit,"34,195,434","95,673,607",61478173,35.70,"3,136","10,904","Feb 9, 2007",DreamWorks,"10,904"
457,The Equalizer,"34,137,828","101,530,738",67392910,33.60,"3,236","10,549","Sep 26, 2014",Sony Pictures Releasing,"10,549"
458,The Blind Side,"34,119,372","255,959,475",221840103,13.30,"3,110","10,970","Nov 20, 2009",Warner Bros.,"10,970"
459,The Lego Movie 2: The Second Part,"34,115,335","105,806,508",71691173,32.20,"4,303","7,928","Feb 8, 2019",Warner Bros.,"7,928"
460,Puss in Boots,"34,077,439","149,260,504",115183065,22.80,"3,952","8,622","Oct 28, 2011",DreamWorks,"8,622"
461,The Purge,"34,058,360","64,473,115",30414755,52.80,"2,536","13,429","Jun 7, 2013",Universal Pictures,"13,429"
462,Lethal Weapon 4,"34,048,124","130,444,603",96396479,26.10,"3,117","10,923","Jul 10, 1998",Warner Bros.,"10,923"
463,Cloudy with a Chance of Meatballs 2,"34,017,930","119,793,567",85775637,28.40,"4,001","8,502","Sep 27, 2013",Sony Pictures Releasing,"8,502"
464,Get Hard,"33,803,253","90,411,453",56608200,37.40,"3,175","10,646","Mar 27, 2015",Warner Bros.,"10,646"
465,The Devil Inside,"33,732,515","53,261,944",19529429,63.30,"2,285","14,762","Jan 6, 2012",Paramount Pictures,"14,762"
466,Think Like a Man,"33,636,303","91,547,205",57910902,36.70,"2,015","16,692","Apr 20, 2012",Screen Gems,"16,692"
467,The Proposal,"33,627,598","163,958,031",130330433,20.50,"3,056","11,003","Jun 19, 2009",Walt Disney Studios Motion Pictures,"11,003"
468,What Women Want,"33,614,543","182,811,707",149197164,18.40,"3,012","11,160","Dec 15, 2000",Paramount Pictures,"11,160"
469,Saw III,"33,610,391","80,238,724",46628333,41.90,"3,167","10,612","Oct 27, 2006",Lionsgate,"10,612"
470,Epic,"33,531,068","107,518,682",73987614,31.20,"3,882","8,637","May 24, 2013",Twentieth Century Fox,"8,637"
471,The Green Hornet,"33,526,876","98,780,042",65253166,33.90,"3,584","9,354","Jan 14, 2011",Sony Pictures Releasing,"9,354"
472,Ted 2,"33,507,870","81,476,385",47968515,41.10,"3,442","9,735","Jun 26, 2015",Universal Pictures,"9,735"
473,101 Dalmatians,"33,504,025","136,189,294",102685269,24.60,"2,794","11,991","Nov 27, 1996",Walt Disney Studios Motion Pictures,"11,991"
474,Wrath of the Titans,"33,457,188","83,670,083",50212895,40,"3,545","9,437","Mar 30, 2012",Warner Bros.,"9,437"
475,The Haunting,"33,435,140","91,411,151",57976011,36.60,"2,808","11,907","Jul 23, 1999",DreamWorks Distribution,"11,907"
476,Get Out,"33,377,060","176,040,665",142663605,19,"2,781","12,001","Feb 24, 2017",Universal Pictures,"12,001"
477,Live Free or Die Hard,"33,369,559","134,529,403",101159844,24.80,"3,408","9,791","Jun 27, 2007",Twentieth Century Fox,"9,791"
478,American Wedding,"33,369,440","104,565,114",71195674,31.90,"3,172","10,520","Aug 1, 2003",Universal Pictures,"10,520"
479,Lethal Weapon 3,"33,243,086","144,731,527",111488441,23,"2,510","13,244","May 15, 1992",Warner Bros.,"13,244"
480,Hustlers,"33,181,361","104,963,598",71782237,31.60,"3,250","10,209","Sep 13, 2019",STX Entertainment,"10,209"
481,A Wrinkle in Time,"33,123,609","100,478,608",67354999,33,"3,980","8,322","Mar 9, 2018",Walt Disney Studios Motion Pictures,"8,322"
482,Superbad,"33,052,411","121,463,226",88410815,27.20,"2,948","11,211","Aug 17, 2007",Sony Pictures Releasing,"11,211"
483,Tomorrowland,"33,028,165","93,436,322",60408157,35.40,"3,972","8,315","May 22, 2015",Walt Disney Studios Motion Pictures,"8,315"
484,Blades of Glory,"33,014,202","118,594,548",85580346,27.80,"3,372","9,790","Mar 30, 2007",DreamWorks,"9,790"
485,Birds of Prey: And the Fantabulous Emancipation of One Harley Quinn,"33,010,017","82,771,910",49761893,39.90,"4,236","7,792","Feb 7, 2020",Warner Bros.,"7,792"
486,Rush Hour,"33,001,803","141,186,864",108185061,23.40,"2,638","12,510","Sep 18, 1998",New Line Cinema,"12,510"
487,Scream 2,"32,926,342","101,363,301",68436959,32.50,"2,663","12,364","Dec 12, 1997",Dimension Films,"12,364"
488,A Nightmare on Elm Street,"32,902,299","63,075,011",30172712,52.20,"3,332","9,874","Apr 30, 2010",Warner Bros.,"9,874"
489,X-Men: Dark Phoenix,"32,828,348","65,845,974",33017626,49.90,"3,721","8,822","Jun 7, 2019",Twentieth Century Fox,"8,822"
490,The Book of Eli,"32,789,494","94,835,059",62045565,34.60,"3,111","10,539","Jan 15, 2010",Warner Bros.,"10,539"
491,Blade Runner 2049,"32,753,122","92,054,159",59301037,35.60,"4,058","8,071","Oct 6, 2017",Warner Bros.,"8,071"
492,Where the Wild Things Are,"32,695,407","77,233,467",44538060,42.30,"3,735","8,753","Oct 16, 2009",Warner Bros.,"8,753"
493,Due Date,"32,689,406","100,539,043",67849637,32.50,"3,355","9,743","Nov 5, 2010",Warner Bros.,"9,743"
494,Blade II,"32,528,016","82,348,319",49820303,39.50,"2,707","12,016","Mar 22, 2002",New Line Cinema,"12,016"
495,The Maze Runner,"32,512,804","102,427,862",69915058,31.70,"3,604","9,021","Sep 19, 2014",Twentieth Century Fox,"9,021"
496,Spy Kids 3-D: Game Over,"32,500,000","111,761,982",79261982,29.10,"3,344","9,718","Jul 25, 2003",Dimension Films,"9,718"
497,Hannah Montana: The Movie,"32,324,487","79,576,189",47251702,40.60,"3,118","10,367","Apr 10, 2009",Walt Disney Studios Motion Pictures,"10,367"
498,Mr. Peabody & Sherman,"32,207,057","111,506,430",79299373,28.90,"3,934","8,186","Mar 7, 2014",Twentieth Century Fox,"8,186"
499,Immortals,"32,206,425","83,504,017",51297592,38.60,"3,112","10,349","Nov 11, 2011",Relativity Media,"10,349"
500,Wedding Crashers,"32,200,000","209,255,921",177055921,15.40,"2,925","11,008","Jul 15, 2005",New Line Cinema,"11,008"
501,Elf,"32,100,000","173,398,518",141298518,18.50,"3,337","9,619","Nov 7, 2003",New Line Cinema,"9,619"
502,Bad Grandpa,"32,055,177","102,003,019",69947842,31.40,"3,336","9,608","Oct 25, 2013",Paramount Pictures,"9,608"
503,The SpongeBob SquarePants Movie,"32,018,216","85,417,988",53399772,37.50,"3,212","9,968","Nov 19, 2004",Paramount Pictures,"9,968"
504,Paul Blart: Mall Cop,"31,832,636","146,336,178",114503542,21.80,"3,144","10,124","Jan 16, 2009",Sony Pictures Releasing,"10,124"
505,Terminator 2: Judgment Day,"31,765,506","204,843,345",173077839,15.50,"2,274","13,969","Jul 3, 1991",TriStar Pictures,"13,969"
506,Saw IV,"31,756,764","63,300,095",31543331,50.20,"3,183","9,976","Oct 26, 2007",Lionsgate,"9,976"
507,Saw II,"31,725,652","87,039,965",55314313,36.40,"2,949","10,758","Oct 28, 2005",Lionsgate,"10,758"
508,G-Force,"31,706,934","119,436,770",87729836,26.60,"3,697","8,576","Jul 24, 2009",Walt Disney Studios Motion Pictures,"8,576"
509,The Mummy,"31,688,375","80,227,895",48539520,39.50,"4,035","7,853","Jun 9, 2017",Universal Pictures,"7,853"
510,Bad Teacher,"31,603,106","100,292,856",68689750,31.50,"3,049","10,365","Jun 24, 2011",Sony Pictures Releasing,"10,365"
511,The Truman Show,"31,542,121","125,618,201",94076080,25.10,"2,315","13,625","Jun 5, 1998",Paramount Pictures,"13,625"
512,The Purge: Election Year,"31,515,110","79,213,375",47698265,39.80,"2,796","11,271","Jul 1, 2016",Universal Pictures,"11,271"
513,The Wolfman,"31,479,235","61,979,680",30500445,50.80,"3,222","9,770","Feb 12, 2010",Universal Pictures,"9,770"
514,Ford v Ferrari,"31,474,958","117,594,481",86119523,26.80,"3,528","8,921","Nov 15, 2019",Twentieth Century Fox,"8,921"
515,Liar Liar,"31,423,025","181,410,615",149987590,17.30,"2,845","11,045","Mar 21, 1997",Universal Pictures,"11,045"
516,Percy Jackson & the Olympians: The Lightning Thief,"31,236,067","88,768,303",57532236,35.20,"3,356","9,307","Feb 12, 2010",Twentieth Century Fox,"9,307"
517,Girls Trip,"31,201,920","115,171,585",83969665,27.10,"2,591","12,042","Jul 21, 2017",Universal Pictures,"12,042"
518,Evan Almighty,"31,192,615","100,462,298",69269683,31,"3,604","8,654","Jun 22, 2007",Universal Pictures,"8,654"
519,The Sum of All Fears,"31,178,526","118,907,036",87728510,26.20,"3,183","9,795","May 31, 2002",Paramount Pictures,"9,795"
520,Home Alone 2: Lost in New York,"31,126,882","173,585,516",142458634,17.90,"2,222","14,008","Nov 20, 1992",Twentieth Century Fox,"14,008"
521,Hannah Montana and Miley Cyrus: Best of Both Worlds Concert,"31,117,834","65,281,781",34163947,47.70,683,"45,560","Feb 1, 2008",Walt Disney Studios Motion Pictures,"45,560"
522,Bringing Down the House,"31,101,026","132,716,677",101615651,23.40,"2,801","11,103","Mar 7, 2003",Walt Disney Studios Motion Pictures,"11,103"
523,Four Christmases,"31,069,826","120,146,040",89076214,25.90,"3,310","9,386","Nov 26, 2008",Warner Bros.,"9,386"
524,Into the Woods,"31,051,923","128,002,372",96950449,24.30,"2,440","12,726","Dec 25, 2014",Walt Disney Studios Motion Pictures,"12,726"
525,Pokémon: The First Movie - Mewtwo Strikes Back,"31,036,678","85,744,662",54707984,36.20,"3,043","10,199","Nov 10, 1999",Warner Bros.,"10,199"
526,Downton Abbey,"31,033,665","96,854,135",65820470,32,"3,079","10,079","Sep 20, 2019",Focus Features,"10,079"
527,Sex and the City 2,"31,001,870","95,347,692",64345822,32.50,"3,445","8,999","May 27, 2010",Warner Bros.,"8,999"
528,Step Brothers,"30,940,732","100,468,793",69528061,30.80,"3,094","10,000","Jul 25, 2008",Sony Pictures Releasing,"10,000"
529,Little Fockers,"30,833,665","148,438,600",117604935,20.80,"3,536","8,719","Dec 22, 2010",Universal Pictures,"8,719"
530,Star Trek: First Contact,"30,716,131","92,027,888",61311757,33.40,"2,812","10,923","Nov 22, 1996",Paramount Pictures,"10,923"
531,Knocked Up,"30,690,990","148,768,917",118077927,20.60,"2,871","10,690","Jun 1, 2007",Universal Pictures,"10,690"
532,The Dukes of Hazzard,"30,675,314","80,270,227",49594913,38.20,"3,785","8,104","Aug 5, 2005",Warner Bros.,"8,104"
533,Unbroken,"30,621,445","115,637,895",85016450,26.50,"3,131","9,780","Dec 25, 2014",Universal Pictures,"9,780"
534,Brüno,"30,619,130","60,054,530",29435400,51,"2,756","11,109","Jul 10, 2009",Universal Pictures,"11,109"
535,Saving Private Ryan,"30,576,104","216,540,909",185964805,14.10,"2,463","12,414","Jul 24, 1998",DreamWorks Distribution,"12,414"
536,The Pacifier,"30,552,694","113,086,868",82534174,27,"3,131","9,758","Mar 4, 2005",Walt Disney Studios Motion Pictures,"9,758"
537,Bram Stoker's Dracula,"30,521,679","82,522,790",52001111,37,"2,491","12,252","Nov 13, 1992",Columbia Pictures,"12,252"
538,The Happening,"30,517,109","64,506,874",33989765,47.30,"2,986","10,220","Jun 13, 2008",Twentieth Century Fox,"10,220"
539,Just Go with It,"30,514,732","103,028,109",72513377,29.60,"3,548","8,600","Feb 11, 2011",Sony Pictures Releasing,"8,600"
540,The Day the Earth Stood Still,"30,480,153","79,366,978",48886825,38.40,"3,560","8,561","Dec 12, 2008",Twentieth Century Fox,"8,561"
541,Dear John,"30,468,614","80,014,842",49546228,38.10,"2,969","10,262","Feb 5, 2010",Screen Gems,"10,262"
542,John Wick: Chapter 2,"30,436,123","92,029,184",61593061,33.10,"3,113","9,777","Feb 10, 2017",Lionsgate,"9,777"
543,Night at the Museum,"30,433,781","250,863,268",220429487,12.10,"3,685","8,258","Dec 22, 2006",Twentieth Century Fox,"8,258"
544,Olympus Has Fallen,"30,373,794","98,925,640",68551846,30.70,"3,098","9,804","Mar 22, 2013",FilmDistrict,"9,804"
545,Unbreakable,"30,330,771","95,011,339",64680568,31.90,"2,708","11,200","Nov 22, 2000",Walt Disney Studios Motion Pictures,"11,200"
546,Maze Runner: The Scorch Trials,"30,316,510","81,697,192",51380682,37.10,"3,791","7,996","Sep 18, 2015",Twentieth Century Fox,"7,996"
547,Cloudy with a Chance of Meatballs,"30,304,648","124,870,275",94565627,24.30,"3,119","9,716","Sep 18, 2009",Sony Pictures Releasing,"9,716"
548,The Addams Family,"30,300,007","100,044,905",69744898,30.30,"4,007","7,561","Oct 11, 2019",United Artists Releasing,"7,561"
549,America's Sweethearts,"30,181,877","93,607,673",63425796,32.20,"3,011","10,023","Jul 20, 2001",Revolution Studios,"10,023"
550,John Carter,"30,180,188","73,078,100",42897912,41.30,"3,749","8,050","Mar 9, 2012",Walt Disney Studios Motion Pictures,"8,050"
551,The Lion King2011 3D Release,"30,151,614","94,242,001",64090387,32,"2,330","12,940","Sep 16, 2011",Walt Disney Studios Motion Pictures,"12,940"
552,The X Files,"30,138,758","83,898,313",53759555,35.90,"2,629","11,463","Jun 19, 1998",Twentieth Century Fox,"11,463"
553,Django Unchained,"30,122,888","162,805,434",132682546,18.50,"3,010","10,007","Dec 25, 2012",The Weinstein Company,"10,007"
554,The Best Man Holiday,"30,107,555","70,525,195",40417640,42.70,"2,024","14,875","Nov 15, 2013",Universal Pictures,"14,875"
555,Trainwreck,"30,097,040","110,212,700",80115660,27.30,"3,158","9,530","Jul 17, 2015",Universal Pictures,"9,530"
556,Prince of Persia: The Sands of Time,"30,095,259","90,759,676",60664417,33.20,"3,646","8,254","May 28, 2010",Walt Disney Studios Motion Pictures,"8,254"
557,Dodgeball: A True Underdog Story,"30,070,196","114,326,736",84256540,26.30,"2,694","11,161","Jun 18, 2004",Twentieth Century Fox,"11,161"
558,Lemony Snicket's A Series of Unfortunate Events,"30,061,756","118,634,549",88572793,25.30,"3,620","8,304","Dec 17, 2004",Paramount Pictures,"8,304"
559,Sleepy Hollow,"30,060,467","101,071,502",71011035,29.70,"3,064","9,810","Nov 19, 1999",Paramount Pictures,"9,810"
560,Panic Room,"30,056,751","96,397,334",66340583,31.20,"3,053","9,844","Mar 29, 2002",Sony Pictures Releasing,"9,844"
561,The Exorcism of Emily Rose,"30,054,300","75,072,454",45018154,40,"2,981","10,081","Sep 9, 2005",Screen Gems,"10,081"
562,Saw V,"30,053,954","56,746,769",26692815,53,"3,060","9,821","Oct 24, 2008",Lionsgate,"9,821"
563,Catch Me If You Can,"30,053,627","164,615,351",134561724,18.30,"3,156","9,522","Dec 25, 2002",DreamWorks Distribution,"9,522"
564,A Christmas Carol,"30,051,075","137,855,863",107804788,21.80,"3,683","8,159","Nov 6, 2009",Walt Disney Studios Motion Pictures,"8,159"
565,Men in Black: International,"30,035,838","80,001,807",49965969,37.50,"4,224","7,110","Jun 14, 2019",Sony Pictures Releasing,"7,110"
566,Madea's Family Reunion,"30,030,661","63,257,940",33227279,47.50,"2,194","13,687","Feb 24, 2006",Lionsgate,"13,687"
567,The Purge: Anarchy,"29,816,675","71,962,800",42146125,41.40,"2,805","10,629","Jul 18, 2014",Universal Pictures,"10,629"
568,Elysium,"29,807,393","93,050,117",63242724,32,"3,284","9,076","Aug 9, 2013",TriStar Pictures,"9,076"
569,Hercules,"29,800,263","72,688,614",42888351,41,"3,595","8,289","Jul 25, 2014",Paramount Pictures,"8,289"
570,Constantine,"29,769,098","75,976,178",46207080,39.20,"3,006","9,903","Feb 18, 2005",Warner Bros.,"9,903"
571,What Lies Beneath,"29,702,959","155,464,351",125761392,19.10,"2,813","10,559","Jul 21, 2000",DreamWorks Distribution,"10,559"
572,The Flintstones,"29,688,730","130,531,208",100842478,22.70,"2,498","11,885","May 27, 1994",Universal Pictures,"11,885"
573,Dark Shadows,"29,685,274","79,727,149",50041875,37.20,"3,755","7,905","May 11, 2012",Warner Bros.,"7,905"
574,Daddy's Home 2,"29,651,193","104,029,443",74378250,28.50,"3,575","8,294","Nov 10, 2017",Paramount Pictures,"8,294"
575,Creed,"29,632,823","109,767,581",80134758,27,"3,404","8,705","Nov 25, 2015",Warner Bros.,"8,705"
576,Insidious: The Last Key,"29,581,355","67,745,330",38163975,43.70,"3,116","9,493","Jan 5, 2018",Universal Pictures,"9,493"
577,Justin Bieber: Never Say Never,"29,514,054","73,013,910",43499856,40.40,"3,105","9,505","Feb 11, 2011",Paramount Pictures,"9,505"
578,Ghostbusters II,"29,472,894","112,494,738",83021844,26.20,"2,410","12,229","Jun 16, 1989",Columbia Pictures,"12,229"
579,Scooby-Doo 2: Monsters Unleashed,"29,438,331","84,216,833",54778502,35,"3,312","8,888","Mar 26, 2004",Warner Bros.,"8,888"
580,Indiana Jones and the Last Crusade,"29,355,021","197,171,806",167816785,14.90,"2,327","12,614","May 24, 1989",Paramount Pictures,"12,614"
581,A.I. Artificial Intelligence,"29,352,630","78,616,689",49264059,37.30,"3,242","9,053","Jun 29, 2001",Warner Bros.,"9,053"
582,Now You See Me,"29,350,389","117,723,989",88373600,24.90,"2,925","10,034","May 31, 2013",Lionsgate,"10,034"
583,Beverly Hills Chihuahua,"29,300,465","94,514,402",65213937,31,"3,215","9,113","Oct 3, 2008",Walt Disney Studios Motion Pictures,"9,113"
584,Why Did I Get Married Too?,"29,289,537","60,095,852",30806315,48.70,"2,155","13,591","Apr 2, 2010",Lionsgate,"13,591"
585,Think Like a Man Too,"29,241,911","65,182,182",35940271,44.90,"2,225","13,142","Jun 20, 2014",Screen Gems,"13,142"
586,The Muppets,"29,239,026","88,631,237",59392211,33,"3,440","8,499","Nov 23, 2011",Walt Disney Studios Motion Pictures,"8,499"
587,The Lone Ranger,"29,210,849","89,302,115",60091266,32.70,"3,904","7,482","Jul 3, 2013",Walt Disney Studios Motion Pictures,"7,482"
588,Eagle Eye,"29,150,721","101,440,743",72290022,28.70,"3,510","8,305","Sep 26, 2008",DreamWorks,"8,305"
589,Toy Story,"29,140,617","191,796,233",162655616,15.20,"2,457","11,860","Nov 22, 1995",Walt Disney Studios Motion Pictures,"11,860"
590,The Texas Chainsaw Massacre,"29,100,000","80,571,655",51471655,36.10,"3,016","9,648","Oct 17, 2003",New Line Cinema,"9,648"
591,Spy,"29,085,719","110,825,712",81739993,26.20,"3,711","7,837","Jun 5, 2015",Twentieth Century Fox,"7,837"
592,Terminator: Dark Fate,"29,033,832","62,253,077",33219245,46.60,"4,086","7,105","Nov 1, 2019",Paramount Pictures,"7,105"
593,Allegiant,"29,027,348","66,184,051",37156703,43.90,"3,740","7,761","Mar 18, 2016",Lionsgate,"7,761"
594,Doctor Dolittle,"29,014,324","144,156,605",115142281,20.10,"2,777","10,448","Jun 26, 1998",Twentieth Century Fox,"10,448"
595,The Santa Clause 2,"29,008,696","139,236,327",110227631,20.80,"3,350","8,659","Nov 1, 2002",Walt Disney Studios Motion Pictures,"8,659"
596,Paranormal Activity 4,"29,003,866","53,885,000",24881134,53.80,"3,412","8,500","Oct 19, 2012",Paramount Pictures,"8,500"
597,Jackass Number Two,"29,002,002","72,778,712",43776710,39.80,"3,059","9,480","Sep 22, 2006",Paramount Pictures,"9,480"
598,Inside Man,"28,954,945","88,513,495",59558550,32.70,"2,818","10,274","Mar 24, 2006",Universal Pictures,"10,274"
599,Cast Away,"28,883,406","233,632,142",204748736,12.40,"2,774","10,412","Dec 22, 2000",Twentieth Century Fox,"10,412"
600,Non-Stop,"28,875,635","92,168,600",63292965,31.30,"3,090","9,344","Feb 28, 2014",Universal Pictures,"9,344"
601,Miss Peregrine's Home for Peculiar Children,"28,871,140","87,242,834",58371694,33.10,"3,522","8,197","Sep 30, 2016",Twentieth Century Fox,"8,197"
602,Edge of Tomorrow,"28,760,246","100,206,256",71446010,28.70,"3,490","8,240","Jun 6, 2014",Warner Bros.,"8,240"
603,Murder on the Orient Express,"28,681,472","102,826,543",74145071,27.90,"3,341","8,584","Nov 10, 2017",Twentieth Century Fox,"8,584"
604,Titanic,"28,638,131","600,788,188",572150057,4.80,"2,674","10,709","Dec 19, 1997",Paramount Pictures,"10,709"
605,Meet the Parents,"28,623,300","166,244,045",137620745,17.20,"2,614","10,950","Oct 6, 2000",Universal Pictures,"10,950"
606,Obsessed,"28,612,730","68,261,644",39648914,41.90,"2,514","11,381","Apr 24, 2009",Screen Gems,"11,381"
607,The Expendables 2,"28,591,370","85,028,192",56436822,33.60,"3,316","8,622","Aug 17, 2012",Lionsgate,"8,622"
608,Alita: Battle Angel,"28,525,613","85,710,210",57184597,33.30,"3,790","7,526","Feb 14, 2019",Twentieth Century Fox,"7,526"
609,Tyler Perry's Boo! A Madea Halloween,"28,501,448","73,206,343",44704895,38.90,"2,260","12,611","Oct 21, 2016",Lionsgate,"12,611"
610,Anchorman: The Legend of Ron Burgundy,"28,416,365","85,288,303",56871938,33.30,"3,091","9,193","Jul 9, 2004",DreamWorks Distribution,"9,193"
611,Mama,"28,402,310","71,628,180",43225870,39.60,"2,647","10,730","Jan 18, 2013",Universal Pictures,"10,730"
612,Nacho Libre,"28,309,599","80,197,993",51888394,35.30,"3,070","9,221","Jun 16, 2006",Paramount Pictures,"9,221"
613,Horrible Bosses,"28,302,165","117,538,559",89236394,24.10,"3,040","9,309","Jul 8, 2011",Warner Bros.,"9,309"
614,The Invisible Man,"28,205,665","54,026,015",25820350,52.20,"3,610","7,813","Feb 28, 2020",Universal Pictures,"7,813"
