Rank,Release,Opening_Rev,Total_Gross,Non_opening_rev,Percent_of_Total,Theaters,Average_Theatre_Rev,Date,Distributor
85,The Hangover Part II,85946294,254464305,168518011,33.80,3615,23774,26/05/2011,Warner Bros.
86,Thor: The Dark World,85737841,206362140,120624299,41.60,3841,22321,08/11/2013,Walt Disney Studios Motion Pictures
87,X2: X-Men United,85558731,214949694,129390963,39.80,3741,22870,02/05/2003,Twentieth Century Fox
88,Fifty Shades of Grey,85171450,166167230,80995780,51.30,3646,23360,13/02/2015,Universal Pictures
89,Doctor Strange,85058311,232641920,147583609,36.60,3882,21910,04/11/2016,Walt Disney Studios Motion Pictures
90,X-Men Origins: Wolverine,85058003,179883157,94825154,47.30,4099,20750,01/05/2009,Twentieth Century Fox
91,The Hobbit: An Unexpected Journey,84617303,303003568,218386265,27.90,4045,20918,14/12/2012,Warner Bros.
92,Solo: A Star Wars Story,84420489,213767512,129347023,39.50,4381,19269,25/05/2018,Walt Disney Studios Motion Pictures
93,The Passion of the Christ,83848082,370274604,286426522,22.60,3043,27554,25/02/2004,Newmarket Films
94,Despicable Me 2,83517315,368065385,284548070,22.70,3997,20895,03/07/2013,Universal Pictures
95,Monsters University,82429469,268492764,186063295,30.70,4004,20586,21/06/2013,Walt Disney Studios Motion Pictures
96,Venom,80255756,213515506,133259750,37.60,4250,18883,05/10/2018,Sony Pictures Releasing
97,Star Wars: Episode II - Attack of the Clones,80027814,302191252,222163438,26.50,3161,25317,16/05/2002,Twentieth Century Fox
98,Oz the Great and Powerful,79110453,234911825,155801372,33.70,3912,20222,08/03/2013,Walt Disney Studios Motion Pictures
99,Harry Potter and the Half-Blood Prince,77835727,301959197,224123470,25.80,4325,17996,15/07/2009,Warner Bros.
100,I Am Legend,77211321,256393010,179181689,30.10,3606,21411,14/12/2007,Warner Bros.
101,Harry Potter and the Order of the Phoenix,77108414,292004738,214896324,26.40,4285,17994,11/07/2007,Warner Bros.
102,The Da Vinci Code,77073388,217536138,140462750,35.40,3735,20635,19/05/2006,Sony Pictures Releasing
103,Avatar,77025481,749766139,672740658,10.30,3452,22313,18/12/2009,Twentieth Century Fox
104,Halloween,76221545,159342015,83120470,47.80,3928,19404,19/10/2018,Universal Pictures
